Trans Size,Total Contracts,Contracts,Premiums,Contracts.1,Premiums.1,Contracts.2,Premiums.2,Contracts.3,Premiums.3,porc,ds
M-M (ALL),20626070,0,$0,"20,626,070",$8405456244.0000,0,$0,"19,314,119",$8103135772.5000,puts,2021-07-23
TOTAL PUTS,39166240,"12,294,299",$4091421861.0000,"26,871,941",$11168651167.0300,"10,399,940",$4016455078.0000,"28,766,300",$11243617950.0300,puts,2021-07-23
CUST (1-10),22745300,"17,887,622",$7611587793.5000,"4,857,678",$2760927878.2600,"10,396,905",$4155461949.1000,"12,655,750",$6405046085.4500,comb,2021-07-23
CUST (11-49),14386521,"11,153,976",$2760949129.0000,"3,232,545",$1027796225.5000,"7,085,685",$1662655864.0000,"8,143,406",$2255028177.0000,comb,2021-07-23
CUST (50-UP),19315138,"13,516,912",$2941648568.0000,"5,798,226",$1674517362.5000,"8,771,541",$2032768671.5000,"11,521,317",$2765477685.0300,comb,2021-07-23
CUST (ALL),56446959,"42,558,510",$13314185490.5000,"13,888,449",$5463241466.2600,"26,254,131",$7850886484.6000,"32,320,473",$11425551947.4800,comb,2021-07-23
FIRM (ALL),3848733,"2,078,215",$839887746.0000,"1,770,518",$650728926.5300,"1,925,790",$792538891.0000,"1,936,083",$785878104.0000,comb,2021-07-23
M-M (ALL),60994787,0,$0,"60,994,787",$23136805050.5500,0,$0,"58,854,002",$22549993252.7600,comb,2021-07-23
TOTAL COMB,121290479,"44,636,725",$14154073236.5000,"76,653,754",$29250775443.3400,"28,179,921",$8643425375.6000,"93,110,558",$34761423304.2400,comb,2021-07-23
CUST (1-10),16555603,"13,591,023",$6545294531.5000,"2,964,580",$1799487114.0000,"5,626,477",$2325057709.6000,"10,320,466",$5640791341.2000,calls,2021-07-30
CUST (11-49),10064303,"8,098,889",$2263813592.0000,"1,965,414",$742880844.5000,"3,997,994",$1076943953.0000,"6,497,075",$2062128342.5000,calls,2021-07-30
CUST (50-UP),13574946,"9,935,084",$3735158285.0000,"3,639,862",$1211998462.0000,"5,779,536",$2197190441.0000,"8,370,082",$2991064380.0000,calls,2021-07-30
CUST (ALL),40194852,"31,624,996",$12544266408.5000,"8,569,856",$3754366420.5000,"15,404,007",$5599192103.6000,"25,187,623",$10693984063.7000,calls,2021-07-30
FIRM (ALL),2140192,"1,257,562",$1013898272.0000,"882,630",$830482792.0000,"1,515,860",$1280186483.0000,"954,577",$437754537.0000,calls,2021-07-30
M-M (ALL),41224014,0,$0,"41,224,014",$18664532919.3000,0,$0,"40,496,991",$18796429625.0000,calls,2021-07-30
TOTAL CALLS,83559058,"32,882,558",$13558164680.5000,"50,676,500",$23249382131.8000,"16,919,867",$6879378586.6000,"66,639,191",$29928168225.7000,calls,2021-07-30
CUST (1-10),6928184,"4,635,096",$2259209049.0000,"2,293,088",$1852614659.6000,"4,070,799",$2724959419.0000,"3,182,283",$1756318081.0000,puts,2021-07-30
CUST (11-49),4231388,"2,909,223",$943714336.5000,"1,322,165",$616836663.0000,"2,477,500",$917024743.0000,"2,017,138",$687407257.0000,puts,2021-07-30
CUST (50-UP),6165483,"3,656,787",$900147929.0000,"2,508,696",$961733009.5000,"3,147,968",$955719266.5000,"3,453,025",$900913639.0000,puts,2021-07-30
CUST (ALL),17325055,"11,201,106",$4103071314.5000,"6,123,949",$3431184332.1000,"9,696,267",$4597703428.5000,"8,652,446",$3344638977.0000,puts,2021-07-30
FIRM (ALL),2096625,"1,121,666",$436013097.0000,"974,959",$391856210.0000,"749,040",$353362825.0000,"789,480",$354462285.0000,puts,2021-07-30
M-M (ALL),20953626,0,$0,"20,953,626",$10023803647.5000,0,$0,"20,488,073",$9735761085.6000,puts,2021-07-30
TOTAL PUTS,40375306,"12,322,772",$4539084411.5000,"28,052,534",$13846844189.6000,"10,445,307",$4951066253.5000,"29,929,999",$13434862347.6000,puts,2021-07-30
CUST (1-10),23483787,"18,226,119",$8804503580.5000,"5,257,668",$3652101773.6000,"9,697,276",$5050017128.6000,"13,502,749",$7397109422.2000,comb,2021-07-30
