Trans Size,Total Contracts,Contracts,Premiums,Contracts.1,Premiums.1,Contracts.2,Premiums.2,Contracts.3,Premiums.3,porc,ds
CUST (1-10),4797510,"3,796,167",$1495419396.4000,"1,001,343",$614678221.7500,"1,821,908",$699711247.0000,"2,787,192",$1531043601.7700,calls,2020-01-03
CUST (11-49),3588226,"2,836,445",$659160093.0000,"751,781",$324933206.6800,"1,417,716",$349581312.0000,"2,174,683",$742848198.0000,calls,2020-01-03
CUST (50-UP),5312402,"3,836,844",$1650157427.4900,"1,475,558",$483997055.2500,"2,431,659",$1244431116.0000,"3,146,936",$1142812018.0100,calls,2020-01-03
CUST (ALL),13698138,"10,469,456",$3804736916.8900,"3,228,682",$1423608483.6800,"5,671,283",$2293723675.0000,"8,108,811",$3416703817.7800,calls,2020-01-03
FIRM (ALL),1360852,"758,776",$568505461.0000,"602,076",$242502188.0000,"664,858",$545073931.0000,"517,563",$110194631.0000,calls,2020-01-03
M-M (ALL),14569114,0,$0,"14,569,114",$7675986876.4100,0,$0,"14,665,589",$7349643871.2000,calls,2020-01-03
TOTAL CALLS,29628104,"11,228,232",$4373242377.8900,"18,399,872",$9342097548.0900,"6,336,141",$2838797606.0000,"23,291,963",$10876542319.9800,calls,2020-01-03
CUST (1-10),2310058,"1,553,242",$564557842.0000,"756,816",$237547618.7500,"1,623,229",$541242197.9000,"923,892",$327946421.0200,puts,2020-01-03
CUST (11-49),1643515,"1,120,576",$221663843.0000,"522,939",$103396073.0000,"1,209,798",$241400667.0000,"666,477",$138309639.0000,puts,2020-01-03
CUST (50-UP),2257565,"1,353,694",$228020169.0000,"903,871",$148582136.0000,"1,524,360",$262027670.0000,"1,074,087",$169991896.3000,puts,2020-01-03
CUST (ALL),6211138,"4,027,512",$1014241854.0000,"2,183,626",$489525827.7500,"4,357,387",$1044670534.9000,"2,664,456",$636247956.3200,puts,2020-01-03
FIRM (ALL),1032527,"502,765",$145212378.0000,"529,762",$138408725.0000,"486,400",$147525665.0000,"560,109",$167397217.0000,puts,2020-01-03
M-M (ALL),7930899,0,$0,"7,930,899",$2477376548.2200,0,$0,"7,106,212",$2268923959.7500,puts,2020-01-03
TOTAL PUTS,15174564,"4,530,277",$1159454232.0000,"10,644,287",$3105311100.9700,"4,843,787",$1192196199.9000,"10,330,777",$3072569133.0700,puts,2020-01-03
CUST (1-10),7107568,"5,349,409",$2059977238.4000,"1,758,159",$852225840.5000,"3,445,137",$1240953444.9000,"3,711,084",$1858990022.7900,comb,2020-01-03
CUST (11-49),5231741,"3,957,021",$880823936.0000,"1,274,720",$428329279.6800,"2,627,514",$590981979.0000,"2,841,160",$881157837.0000,comb,2020-01-03
CUST (50-UP),7569967,"5,190,538",$1878177596.4900,"2,379,429",$632579191.2500,"3,956,019",$1506458786.0000,"4,221,023",$1312803914.3100,comb,2020-01-03
CUST (ALL),19909276,"14,496,968",$4818978770.8900,"5,412,308",$1913134311.4300,"10,028,670",$3338394209.9000,"10,773,267",$4052951774.1000,comb,2020-01-03
FIRM (ALL),2393379,"1,261,541",$713717839.0000,"1,131,838",$380910913.0000,"1,151,258",$692599596.0000,"1,077,672",$277591848.0000,comb,2020-01-03
M-M (ALL),22500013,0,$0,"22,500,013",$10153363424.6300,0,$0,"21,771,801",$9618567830.9500,comb,2020-01-03
TOTAL COMB,44802668,"15,758,509",$5532696609.8900,"29,044,159",$12447408649.0600,"11,179,928",$4030993805.9000,"33,622,740",$13949111453.0500,comb,2020-01-03
CUST (1-10),7509828,"6,025,894",$2526791629.7400,"1,483,934",$1095181407.7000,"2,599,048",$1075107878.7500,"4,636,274",$2752388954.5400,calls,2020-01-10
CUST (11-49),5426154,"4,315,428",$1093212117.0500,"1,110,726",$579237174.0000,"1,980,207",$536883807.0000,"3,384,955",$1294157003.0500,calls,2020-01-10
CUST (50-UP),8171320,"5,823,449",$1675560268.9900,"2,347,871",$912237037.0000,"3,342,933",$1033199614.0000,"4,819,148",$1706165029.9900,calls,2020-01-10
CUST (ALL),21107302,"16,164,771",$5295564015.7800,"4,942,531",$2586655618.7000,"7,922,188",$2645191299.7500,"12,840,377",$5752710987.5800,calls,2020-01-10
FIRM (ALL),2344401,"1,129,575",$431998820.0000,"1,214,826",$448065889.0000,"1,048,656",$413913927.0000,"1,208,227",$427923830.0000,calls,2020-01-10
M-M (ALL),20963196,0,$0,"20,963,196",$9518692288.0000,0,$0,"21,395,451",$9041236587.1500,calls,2020-01-10
TOTAL CALLS,44414899,"17,294,346",$5727562835.7800,"27,120,553",$12553413795.7000,"8,970,844",$3059105226.7500,"35,444,055",$15221871404.7300,calls,2020-01-10
CUST (1-10),3312245,"2,172,984",$786617319.0300,"1,139,261",$322631311.0000,"2,256,326",$799519538.0000,"1,298,572",$424587523.0300,puts,2020-01-10
CUST (11-49),2266208,"1,499,150",$304741678.2000,"767,058",$149020158.0000,"1,634,268",$349809683.0000,"919,594",$183667146.2000,puts,2020-01-10
CUST (50-UP),3585856,"1,862,939",$329910254.0000,"1,722,917",$285239921.0000,"2,061,260",$388147845.0000,"1,982,127",$300935130.0000,puts,2020-01-10
CUST (ALL),9164309,"5,535,073",$1421269251.2300,"3,629,236",$756891390.0000,"5,951,854",$1537477066.0000,"4,200,293",$909189799.2300,puts,2020-01-10
FIRM (ALL),2262264,"911,090",$261746184.0000,"1,351,174",$293788086.0000,"850,942",$212223879.0000,"1,299,506",$310823493.0000,puts,2020-01-10
M-M (ALL),11018470,0,$0,"11,018,470",$3296074255.0000,0,$0,"10,142,448",$3060054929.0000,puts,2020-01-10
TOTAL PUTS,22445043,"6,446,163",$1683015435.2300,"15,998,880",$4346753731.0000,"6,802,796",$1749700945.0000,"15,642,247",$4280068221.2300,puts,2020-01-10
CUST (1-10),10822073,"8,198,878",$3313408948.7700,"2,623,195",$1417812718.7000,"4,855,374",$1874627416.7500,"5,934,846",$3176976477.5700,comb,2020-01-10
CUST (11-49),7692362,"5,814,578",$1397953795.2500,"1,877,784",$728257332.0000,"3,614,475",$886693490.0000,"4,304,549",$1477824149.2500,comb,2020-01-10
CUST (50-UP),11757176,"7,686,388",$2005470522.9900,"4,070,788",$1197476958.0000,"5,404,193",$1421347459.0000,"6,801,275",$2007100159.9900,comb,2020-01-10
CUST (ALL),30271611,"21,699,844",$6716833267.0100,"8,571,767",$3343547008.7000,"13,874,042",$4182668365.7500,"17,040,670",$6661900786.8100,comb,2020-01-10
FIRM (ALL),4606665,"2,040,665",$693745004.0000,"2,566,000",$741853975.0000,"1,899,598",$626137806.0000,"2,507,733",$738747323.0000,comb,2020-01-10
M-M (ALL),31981666,0,$0,"31,981,666",$12814766543.0000,0,$0,"31,537,899",$12101291516.1500,comb,2020-01-10
TOTAL COMB,66859942,"23,740,509",$7410578271.0100,"43,119,433",$16900167526.7000,"15,773,640",$4808806171.7500,"51,086,302",$19501939625.9600,comb,2020-01-10
CUST (1-10),8627165,"6,818,049",$2649440418.0000,"1,809,116",$1217861677.8500,"2,871,151",$1174224875.0000,"5,591,879",$3007090768.0000,calls,2020-01-17
CUST (11-49),6271451,"4,878,675",$1134849579.3000,"1,392,776",$623709256.0000,"2,181,426",$555849284.0000,"4,283,457",$1445135857.2000,calls,2020-01-17
CUST (50-UP),8739071,"5,784,205",$1409302775.0000,"2,954,866",$1415851140.0000,"3,123,290",$931082488.5000,"5,759,644",$2064504356.8000,calls,2020-01-17
CUST (ALL),23637687,"17,480,929",$5193592772.3000,"6,156,758",$3257422073.8500,"8,175,867",$2661156647.5000,"15,634,980",$6516730982.0000,calls,2020-01-17
FIRM (ALL),2365834,"1,147,607",$342013350.0000,"1,218,227",$357945123.0000,"1,006,952",$298560263.5000,"1,345,677",$423031729.0000,calls,2020-01-17
M-M (ALL),23624803,0,$0,"23,624,803",$9853623194.0000,0,$0,"23,464,848",$9105116891.1500,calls,2020-01-17
TOTAL CALLS,49628324,"18,628,536",$5535606122.3000,"30,999,788",$13468990390.8500,"9,182,819",$2959716911.0000,"40,445,505",$16044879602.1500,calls,2020-01-17
CUST (1-10),3636795,"2,362,171",$892116677.0000,"1,274,624",$401386824.0000,"2,378,651",$851174389.0000,"1,434,830",$504699261.0000,puts,2020-01-17
CUST (11-49),2469778,"1,593,863",$343398763.0000,"875,915",$174952809.0000,"1,693,070",$400434269.0000,"982,226",$208545525.0000,puts,2020-01-17
CUST (50-UP),4117869,"1,974,683",$357713163.0000,"2,143,186",$361883120.0000,"2,236,362",$388129009.0000,"2,008,274",$375719875.0000,puts,2020-01-17
CUST (ALL),10224442,"5,930,717",$1593228603.0000,"4,293,725",$938222753.0000,"6,308,083",$1639737667.0000,"4,425,330",$1088964661.0000,puts,2020-01-17
FIRM (ALL),2119339,"977,820",$266676945.0000,"1,141,519",$294921983.0000,"856,067",$222699223.0000,"1,412,434",$321264519.0000,puts,2020-01-17
M-M (ALL),11759842,0,$0,"11,759,842",$3804559118.0000,0,$0,"11,101,709",$3624943332.0000,puts,2020-01-17
TOTAL PUTS,24103623,"6,908,537",$1859905548.0000,"17,195,086",$5037703854.0000,"7,164,150",$1862436890.0000,"16,939,473",$5035172512.0000,puts,2020-01-17
CUST (1-10),12263960,"9,180,220",$3541557095.0000,"3,083,740",$1619248501.8500,"5,249,802",$2025399264.0000,"7,026,709",$3511790029.0000,comb,2020-01-17
CUST (11-49),8741229,"6,472,538",$1478248342.3000,"2,268,691",$798662065.0000,"3,874,496",$956283553.0000,"5,265,683",$1653681382.2000,comb,2020-01-17
CUST (50-UP),12856940,"7,758,888",$1767015938.0000,"5,098,052",$1777734260.0000,"5,359,652",$1319211497.5000,"7,767,918",$2440224231.8000,comb,2020-01-17
CUST (ALL),33862129,"23,411,646",$6786821375.3000,"10,450,483",$4195644826.8500,"14,483,950",$4300894314.5000,"20,060,310",$7605695643.0000,comb,2020-01-17
FIRM (ALL),4485173,"2,125,427",$608690295.0000,"2,359,746",$652867106.0000,"1,863,019",$521259486.5000,"2,758,111",$744296248.0000,comb,2020-01-17
M-M (ALL),35384645,0,$0,"35,384,645",$13658182312.0000,0,$0,"34,566,557",$12730060223.1500,comb,2020-01-17
TOTAL COMB,73731947,"25,537,073",$7395511670.3000,"48,194,874",$18506694244.8500,"16,346,969",$4822153801.0000,"57,384,978",$21080052114.1500,comb,2020-01-17
CUST (1-10),6740596,"5,566,346",$2366153766.0000,"1,174,250",$762765368.1000,"2,511,128",$957520144.0000,"3,783,261",$2069332264.0000,calls,2020-01-24
CUST (11-49),4676784,"3,833,443",$1010003541.0000,"843,341",$338509414.5000,"1,865,569",$434475487.0000,"2,661,304",$925405568.0000,calls,2020-01-24
CUST (50-UP),6446424,"4,387,489",$1012432714.5000,"2,058,935",$586117220.0000,"2,538,344",$492855221.5000,"3,672,092",$1078066505.0000,calls,2020-01-24
CUST (ALL),17863804,"13,787,278",$4388590021.5000,"4,076,526",$1687392002.6000,"6,915,041",$1884850852.5000,"10,116,657",$4072804337.0000,calls,2020-01-24
FIRM (ALL),1627007,"754,973",$214695201.0000,"872,034",$231741321.0000,"753,496",$229205463.0000,"1,004,925",$267811582.0000,calls,2020-01-24
M-M (ALL),16726533,0,$0,"16,726,533",$6647098662.5000,0,$0,"17,427,225",$6714844974.1000,calls,2020-01-24
TOTAL CALLS,36217344,"14,542,251",$4603285222.5000,"21,675,093",$8566231986.1000,"7,668,537",$2114056315.5000,"28,548,807",$11055460893.1000,calls,2020-01-24
CUST (1-10),3269701,"2,304,844",$856537269.0000,"964,857",$379380602.2500,"2,371,402",$828928309.0000,"1,389,996",$513482612.0000,puts,2020-01-24
CUST (11-49),2279954,"1,614,167",$365148615.0000,"665,787",$170792125.0000,"1,687,871",$379754400.0000,"977,199",$228958938.0000,puts,2020-01-24
CUST (50-UP),3676488,"2,148,418",$351159441.0000,"1,528,070",$322923647.5000,"2,159,872",$402951356.0000,"1,903,328",$349889797.0000,puts,2020-01-24
CUST (ALL),9226143,"6,067,429",$1572845325.0000,"3,158,714",$873096374.7500,"6,219,145",$1611634065.0000,"4,270,523",$1092331347.0000,puts,2020-01-24
FIRM (ALL),1923305,"964,129",$259780547.0000,"959,176",$196581807.0000,"952,921",$262673483.0000,"1,190,332",$261282322.0000,puts,2020-01-24
M-M (ALL),11489018,0,$0,"11,489,018",$3592378052.0000,0,$0,"10,005,545",$3266760888.7500,puts,2020-01-24
TOTAL PUTS,22638466,"7,031,558",$1832625872.0000,"15,606,908",$4662056233.7500,"7,172,066",$1874307548.0000,"15,466,400",$4620374557.7500,puts,2020-01-24
CUST (1-10),10010297,"7,871,190",$3222691035.0000,"2,139,107",$1142145970.3500,"4,882,530",$1786448453.0000,"5,173,257",$2582814876.0000,comb,2020-01-24
CUST (11-49),6956738,"5,447,610",$1375152156.0000,"1,509,128",$509301539.5000,"3,553,440",$814229887.0000,"3,638,503",$1154364506.0000,comb,2020-01-24
CUST (50-UP),10122912,"6,535,907",$1363592155.5000,"3,587,005",$909040867.5000,"4,698,216",$895806577.5000,"5,575,420",$1427956302.0000,comb,2020-01-24
CUST (ALL),27089947,"19,854,707",$5961435346.5000,"7,235,240",$2560488377.3500,"13,134,186",$3496484917.5000,"14,387,180",$5165135684.0000,comb,2020-01-24
FIRM (ALL),3550312,"1,719,102",$474475748.0000,"1,831,210",$428323128.0000,"1,706,417",$491878946.0000,"2,195,257",$529093904.0000,comb,2020-01-24
M-M (ALL),28215551,0,$0,"28,215,551",$10239476714.5000,0,$0,"27,432,770",$9981605862.8500,comb,2020-01-24
TOTAL COMB,58855810,"21,573,809",$6435911094.5000,"37,282,001",$13228288219.8500,"14,840,603",$3988363863.5000,"44,015,207",$15675835450.8500,comb,2020-01-24
CUST (1-10),7280572,"5,728,895",$2661916590.0000,"1,551,677",$1167355878.0500,"2,674,135",$1114213594.0000,"3,800,303",$2735122973.0000,calls,2020-01-31
CUST (11-49),5145617,"4,012,903",$1161478054.0000,"1,132,714",$519446678.5000,"2,009,592",$507607083.0000,"2,718,049",$1149191627.0000,calls,2020-01-31
CUST (50-UP),7150494,"4,714,611",$1299465059.0000,"2,435,883",$763683288.0000,"2,702,268",$582001844.0000,"3,895,986",$1377602512.5000,calls,2020-01-31
CUST (ALL),19576683,"14,456,409",$5122859703.0000,"5,120,274",$2450485844.5500,"7,385,995",$2203822521.0000,"10,414,338",$5261917112.5000,calls,2020-01-31
FIRM (ALL),2081808,"1,066,781",$255851005.0000,"1,015,027",$259442337.5000,"1,141,936",$264055621.0000,"1,139,391",$273231634.0000,calls,2020-01-31
M-M (ALL),18511268,0,$0,"18,511,268",$8558212212.0000,0,$0,"20,088,099",$8643824213.5500,calls,2020-01-31
TOTAL CALLS,40169759,"15,523,190",$5378710708.0000,"24,646,569",$11268140394.0500,"8,527,931",$2467878142.0000,"31,641,828",$14178972960.0500,calls,2020-01-31
CUST (1-10),4000055,"2,776,499",$1071995334.0000,"1,223,556",$550573631.0000,"2,427,771",$986542577.0000,"1,833,414",$733579345.7500,puts,2020-01-31
CUST (11-49),2789685,"1,973,413",$459090434.0000,"816,272",$254555169.0000,"1,623,254",$427306243.0000,"1,298,480",$335770206.0000,puts,2020-01-31
CUST (50-UP),4075812,"2,343,572",$482298580.0000,"1,732,240",$468832956.0000,"2,217,865",$527268480.0000,"2,173,224",$492854631.0000,puts,2020-01-31
CUST (ALL),10865552,"7,093,484",$2013384348.0000,"3,772,068",$1273961756.0000,"6,268,890",$1941117300.0000,"5,305,118",$1562204182.7500,puts,2020-01-31
FIRM (ALL),2200072,"1,210,285",$318885443.0000,"989,787",$300595576.0000,"1,002,147",$292256361.0000,"1,137,700",$330602831.0000,puts,2020-01-31
M-M (ALL),13449013,0,$0,"13,449,013",$4776661392.7500,0,$0,"12,800,782",$4557307841.0000,puts,2020-01-31
TOTAL PUTS,26514637,"8,303,769",$2332269791.0000,"18,210,868",$6351218724.7500,"7,271,037",$2233373661.0000,"19,243,600",$6450114854.7500,puts,2020-01-31
CUST (1-10),11280627,"8,505,394",$3733911924.0000,"2,775,233",$1717929509.0500,"5,101,906",$2100756171.0000,"5,633,717",$3468702318.7500,comb,2020-01-31
CUST (11-49),7935302,"5,986,316",$1620568488.0000,"1,948,986",$774001847.5000,"3,632,846",$934913326.0000,"4,016,529",$1484961833.0000,comb,2020-01-31
CUST (50-UP),11226306,"7,058,183",$1781763639.0000,"4,168,123",$1232516244.0000,"4,920,133",$1109270324.0000,"6,069,210",$1870457143.5000,comb,2020-01-31
CUST (ALL),30442235,"21,549,893",$7136244051.0000,"8,892,342",$3724447600.5500,"13,654,885",$4144939821.0000,"15,719,456",$6824121295.2500,comb,2020-01-31
FIRM (ALL),4281880,"2,277,066",$574736448.0000,"2,004,814",$560037913.5000,"2,144,083",$556311982.0000,"2,277,091",$603834465.0000,comb,2020-01-31
M-M (ALL),31960281,0,$0,"31,960,281",$13334873604.7500,0,$0,"32,888,881",$13201132054.5500,comb,2020-01-31
TOTAL COMB,66684396,"23,826,959",$7710980499.0000,"42,857,437",$17619359118.8000,"15,798,968",$4701251803.0000,"50,885,428",$20629087814.8000,comb,2020-01-31
CUST (1-10),8651476,"7,004,575",$4606469023.0000,"1,646,901",$2350813684.0000,"2,999,073",$1907575554.0000,"5,280,101",$5140566864.0000,calls,2020-02-07
CUST (11-49),5828987,"4,629,931",$1706716566.0000,"1,199,056",$1037267335.0000,"2,258,118",$923257700.0000,"3,616,270",$2018023973.0000,calls,2020-02-07
CUST (50-UP),8282172,"5,628,316",$2660171144.0000,"2,653,856",$1205200788.0000,"3,174,352",$1904510742.5000,"5,195,884",$2205072677.0000,calls,2020-02-07
CUST (ALL),22762635,"17,262,822",$8973356733.0000,"5,499,813",$4593281807.0000,"8,431,543",$4735343996.5000,"14,092,255",$9363663514.0000,calls,2020-02-07
FIRM (ALL),2400435,"1,081,422",$526573461.0000,"1,319,013",$447381292.0000,"911,438",$581758065.0000,"1,312,214",$297347242.0000,calls,2020-02-07
M-M (ALL),23027837,0,$0,"23,027,837",$17521700846.5000,0,$0,"23,443,457",$17084181322.0000,calls,2020-02-07
TOTAL CALLS,48190907,"18,344,244",$9499930194.0000,"29,846,663",$22562363945.5000,"9,342,981",$5317102061.5000,"38,847,926",$26745192078.0000,calls,2020-02-07
CUST (1-10),4247809,"2,943,368",$1879286544.0000,"1,304,441",$791365245.0000,"2,353,106",$1341243531.0000,"1,920,896",$1415595023.2500,puts,2020-02-07
CUST (11-49),2722168,"1,865,265",$581683307.0000,"856,903",$354161165.0000,"1,660,439",$586900033.0000,"1,208,850",$448262838.0000,puts,2020-02-07
CUST (50-UP),4160492,"2,346,387",$623054536.5000,"1,814,105",$492185278.5000,"1,936,004",$596135812.0000,"2,096,437",$513104184.5000,puts,2020-02-07
CUST (ALL),11130469,"7,155,020",$3084024387.5000,"3,975,449",$1637711688.5000,"5,949,549",$2524279376.0000,"5,226,183",$2376962045.7500,puts,2020-02-07
FIRM (ALL),1869056,"932,333",$344208853.0000,"936,723",$263371855.0000,"890,067",$403285868.0000,"1,094,882",$362479784.0000,puts,2020-02-07
M-M (ALL),12576462,0,$0,"12,576,462",$7024921739.2500,0,$0,"12,415,306",$6687231449.5000,puts,2020-02-07
TOTAL PUTS,25575987,"8,087,353",$3428233240.5000,"17,488,634",$8926005282.7500,"6,839,616",$2927565244.0000,"18,736,371",$9426673279.2500,puts,2020-02-07
CUST (1-10),12899285,"9,947,943",$6485755567.0000,"2,951,342",$3142178929.0000,"5,352,179",$3248819085.0000,"7,200,997",$6556161887.2500,comb,2020-02-07
CUST (11-49),8551155,"6,495,196",$2288399873.0000,"2,055,959",$1391428500.0000,"3,918,557",$1510157733.0000,"4,825,120",$2466286811.0000,comb,2020-02-07
CUST (50-UP),12442664,"7,974,703",$3283225680.5000,"4,467,961",$1697386066.5000,"5,110,356",$2500646554.5000,"7,292,321",$2718176861.5000,comb,2020-02-07
CUST (ALL),33893104,"24,417,842",$12057381120.5000,"9,475,262",$6230993495.5000,"14,381,092",$7259623372.5000,"19,318,438",$11740625559.7500,comb,2020-02-07
FIRM (ALL),4269491,"2,013,755",$870782314.0000,"2,255,736",$710753147.0000,"1,801,505",$985043933.0000,"2,407,096",$659827026.0000,comb,2020-02-07
M-M (ALL),35604299,0,$0,"35,604,299",$24546622585.7500,0,$0,"35,858,763",$23771412771.5000,comb,2020-02-07
TOTAL COMB,73766894,"26,431,597",$12928163434.5000,"47,335,297",$31488369228.2500,"16,182,597",$8244667305.5000,"57,584,297",$36171865357.2500,comb,2020-02-07
CUST (1-10),9077466,"7,548,220",$3558956727.0000,"1,529,246",$1182244501.0000,"2,715,604",$1260481304.0000,"5,595,410",$3519732505.0000,calls,2020-02-14
CUST (11-49),5992285,"4,903,784",$1362969652.0000,"1,088,501",$531574177.0000,"2,009,229",$583606612.0000,"3,812,821",$1409739961.0000,calls,2020-02-14
CUST (50-UP),8265822,"5,866,133",$1421810675.0000,"2,399,689",$721314952.0000,"2,840,028",$711955211.0000,"5,045,861",$1592221905.0000,calls,2020-02-14
CUST (ALL),23335573,"18,318,137",$6343737054.0000,"5,017,436",$2435133630.0000,"7,564,861",$2556043127.0000,"14,454,092",$6521694371.0000,calls,2020-02-14
FIRM (ALL),2098475,"944,341",$340181506.0000,"1,154,134",$315482786.0000,"1,065,611",$373776379.0000,"1,352,508",$305747613.0000,calls,2020-02-14
M-M (ALL),21544402,0,$0,"21,544,402",$10110996861.0000,0,$0,"22,541,378",$9788270347.0000,calls,2020-02-14
TOTAL CALLS,46978450,"19,262,478",$6683918560.0000,"27,715,972",$12861613277.0000,"8,630,472",$2929819506.0000,"38,347,978",$16615712331.0000,calls,2020-02-14
CUST (1-10),3968778,"2,686,233",$1049759083.0000,"1,282,545",$490641038.0000,"2,316,303",$904097741.0000,"1,722,437",$675953297.0000,puts,2020-02-14
CUST (11-49),2614003,"1,777,252",$407493921.0000,"836,751",$202396818.0000,"1,579,317",$420550988.0000,"1,165,746",$280570305.0000,puts,2020-02-14
CUST (50-UP),3986816,"2,275,543",$518434776.0000,"1,711,273",$423110282.0000,"2,231,592",$672262335.0000,"2,111,535",$407876584.0000,puts,2020-02-14
CUST (ALL),10569597,"6,739,028",$1975687780.0000,"3,830,569",$1116148138.0000,"6,127,212",$1996911064.0000,"4,999,718",$1364400186.0000,puts,2020-02-14
FIRM (ALL),2046180,"978,992",$440457404.0000,"1,067,188",$306180460.0000,"1,049,302",$333486967.0000,"1,027,442",$346245516.0000,puts,2020-02-14
M-M (ALL),11753552,0,$0,"11,753,552",$4099287792.0000,0,$0,"11,165,655",$3896717841.0000,puts,2020-02-14
TOTAL PUTS,24369329,"7,718,020",$2416145184.0000,"16,651,309",$5521616390.0000,"7,176,514",$2330398031.0000,"17,192,815",$5607363543.0000,puts,2020-02-14
CUST (1-10),13046244,"10,234,453",$4608715810.0000,"2,811,791",$1672885539.0000,"5,031,907",$2164579045.0000,"7,317,847",$4195685802.0000,comb,2020-02-14
CUST (11-49),8606288,"6,681,036",$1770463573.0000,"1,925,252",$733970995.0000,"3,588,546",$1004157600.0000,"4,978,567",$1690310266.0000,comb,2020-02-14
CUST (50-UP),12252638,"8,141,676",$1940245451.0000,"4,110,962",$1144425234.0000,"5,071,620",$1384217546.0000,"7,157,396",$2000098489.0000,comb,2020-02-14
CUST (ALL),33905170,"25,057,165",$8319424834.0000,"8,848,005",$3551281768.0000,"13,692,073",$4552954191.0000,"19,453,810",$7886094557.0000,comb,2020-02-14
FIRM (ALL),4144655,"1,923,333",$780638910.0000,"2,221,322",$621663246.0000,"2,114,913",$707263346.0000,"2,379,950",$651993129.0000,comb,2020-02-14
M-M (ALL),33297954,0,$0,"33,297,954",$14210284653.0000,0,$0,"33,707,033",$13684988188.0000,comb,2020-02-14
TOTAL COMB,71347779,"26,980,498",$9100063744.0000,"44,367,281",$18383229667.0000,"15,806,986",$5260217537.0000,"55,540,793",$22223075874.0000,comb,2020-02-14
CUST (1-10),8203372,"6,698,347",$3163803556.0000,"1,505,025",$1295417776.2500,"2,410,051",$1246465974.0000,"4,851,366",$3095318467.0000,calls,2020-02-21
CUST (11-49),5323325,"4,267,127",$1210980166.0000,"1,056,198",$554228683.0000,"1,756,309",$552048502.5000,"3,313,620",$1226421897.0000,calls,2020-02-21
CUST (50-UP),7212454,"5,125,586",$1359937806.0000,"2,086,868",$666939365.0000,"2,453,019",$719295684.0000,"4,501,203",$1375703430.0000,calls,2020-02-21
CUST (ALL),20739151,"16,091,060",$5734721528.0000,"4,648,091",$2516585824.2500,"6,619,379",$2517810160.5000,"12,666,189",$5697443794.0000,calls,2020-02-21
FIRM (ALL),2056633,"909,631",$315438416.5000,"1,147,002",$252622035.0000,"949,526",$330220603.0000,"1,249,579",$262675169.0000,calls,2020-02-21
M-M (ALL),18898498,0,$0,"18,898,498",$9253402670.0000,0,$0,"20,209,609",$9264620747.2500,calls,2020-02-21
TOTAL CALLS,41694282,"17,000,691",$6050159944.5000,"24,693,591",$12022610529.2500,"7,568,905",$2848030763.5000,"34,125,377",$15224739710.2500,calls,2020-02-21
CUST (1-10),3660000,"2,517,437",$930752019.0000,"1,142,563",$464862066.0000,"2,079,266",$847344451.0000,"1,726,667",$666122092.0000,puts,2020-02-21
CUST (11-49),2386984,"1,651,348",$365617322.0000,"735,636",$199827832.0000,"1,388,440",$428364107.0000,"1,136,024",$285350117.0000,puts,2020-02-21
CUST (50-UP),3459626,"1,875,370",$478671255.0000,"1,584,256",$382047906.0000,"1,864,153",$597914250.5000,"1,776,748",$400584603.0000,puts,2020-02-21
CUST (ALL),9506610,"6,044,155",$1775040596.0000,"3,462,455",$1046737804.0000,"5,331,859",$1873622808.5000,"4,639,439",$1352056812.0000,puts,2020-02-21
FIRM (ALL),1846464,"827,514",$259451375.0000,"1,018,950",$233374707.0000,"803,378",$228051334.0000,"1,215,670",$286968822.0000,puts,2020-02-21
M-M (ALL),11094150,0,$0,"11,094,150",$3955293307.0000,0,$0,"10,456,878",$3529198012.5000,puts,2020-02-21
TOTAL PUTS,22447224,"6,871,669",$2034491971.0000,"15,575,555",$5235405818.0000,"6,135,237",$2101674142.5000,"16,311,987",$5168223646.5000,puts,2020-02-21
CUST (1-10),11863372,"9,215,784",$4094555575.0000,"2,647,588",$1760279842.2500,"4,489,317",$2093810425.0000,"6,578,033",$3761440559.0000,comb,2020-02-21
CUST (11-49),7710309,"5,918,475",$1576597488.0000,"1,791,834",$754056515.0000,"3,144,749",$980412609.5000,"4,449,644",$1511772014.0000,comb,2020-02-21
CUST (50-UP),10672080,"7,000,956",$1838609061.0000,"3,671,124",$1048987271.0000,"4,317,172",$1317209934.5000,"6,277,951",$1776288033.0000,comb,2020-02-21
CUST (ALL),30245761,"22,135,215",$7509762124.0000,"8,110,546",$3563323628.2500,"11,951,238",$4391432969.0000,"17,305,628",$7049500606.0000,comb,2020-02-21
FIRM (ALL),3903097,"1,737,145",$574889791.5000,"2,165,952",$485996742.0000,"1,752,904",$558271937.0000,"2,465,249",$549643991.0000,comb,2020-02-21
M-M (ALL),29992648,0,$0,"29,992,648",$13208695977.0000,0,$0,"30,666,487",$12793818759.7500,comb,2020-02-21
TOTAL COMB,64141506,"23,872,360",$8084651915.5000,"40,269,146",$17258016347.2500,"13,704,142",$4949704906.0000,"50,437,364",$20392963356.7500,comb,2020-02-21
CUST (1-10),8687874,"6,616,057",$3439236014.0000,"2,071,817",$891968903.0000,"3,092,837",$1368762798.0000,"4,529,939",$2422987250.0000,calls,2020-02-28
CUST (11-49),6022035,"4,430,034",$1341781331.0000,"1,592,001",$459185342.0000,"2,327,425",$711565452.0000,"3,229,891",$1110046347.5000,calls,2020-02-28
CUST (50-UP),9529832,"5,907,996",$1476686030.0000,"3,621,836",$856376614.5000,"3,411,400",$832991477.0000,"5,095,517",$1328501547.0000,calls,2020-02-28
